Product_Category,Region,Age_Group,Gender,Month,Sales_Amount,Units_Sold,Customer_Rating
Electronics,Middle East,45-54,Male,August,31.24,3,3.6
Electronics,Asia-Pacific,25-34,Female,June,285.55,74,4.0
Clothing,Latin America,25-34,Non-binary,April,354.23,60,2.3
Sports Equipment,Latin America,65+,Male,August,699.62,13,2.8
Books,Africa,18-24,Non-binary,June,535.38,99,4.7
Sports Equipment,Middle East,55-64,Non-binary,January,390.0,79,3.0
Home Appliances,Latin America,25-34,Female,January,325.97,70,1.7
Clothing,Africa,55-64,Male,September,529.39,49,2.9
Beauty Products,Latin America,55-64,Non-binary,January,430.98,77,1.9
Sports Equipment,Asia-Pacific,18-24,Female,August,100.33,92,4.4
Books,Africa,45-54,Male,February,409.81,84,3.6
Electronics,Asia-Pacific,65+,Male,September,54.7,11,1.4
Beauty Products,Europe,35-44,Non-binary,May,602.12,53,1.0
Electronics,Europe,45-54,Non-binary,April,214.85,51,3.5
Sports Equipment,Middle East,55-64,Female,January,302.58,34,2.7
Home Appliances,Africa,55-64,Male,June,889.25,44,4.1
Beauty Products,North America,55-64,Female,August,155.41,3,1.3
Beauty Products,Middle East,35-44,Male,June,611.52,1,3.0
Home Appliances,Africa,65+,Female,September,462.6,54,3.3
Home Appliances,Latin America,55-64,Male,May,205.97,18,4.3
Beauty Products,Latin America,45-54,Male,September,879.86,12,1.6
Sports Equipment,Middle East,45-54,Male,July,840.46,61,3.4
Home Appliances,Africa,18-24,Female,November,471.9,30,2.6
Sports Equipment,Latin America,18-24,Male,January,637.26,18,3.5
Electronics,Middle East,45-54,Female,July,629.15,23,2.2
Books,Latin America,65+,Male,November,712.0,43,2.9
Books,Middle East,35-44,Non-binary,December,547.86,45,3.0
Books,Europe,18-24,Female,May,859.61,63,1.0
Electronics,Middle East,25-34,Male,August,518.16,75,3.4
Books,Africa,35-44,Non-binary,November,480.2,69,2.5
Home Appliances,Asia-Pacific,65+,Non-binary,December,123.19,79,4.4
Home Appliances,North America,18-24,Male,March,729.23,5,4.1
Electronics,North America,25-34,Female,April,812.15,96,4.3
Books,North America,65+,Female,March,957.74,47,2.7
Books,Europe,18-24,Non-binary,January,708.51,96,4.6
Clothing,Latin America,55-64,Male,December,685.48,99,3.6
Sports Equipment,Asia-Pacific,65+,Female,February,817.98,84,4.9
Beauty Products,North America,25-34,Non-binary,September,297.05,29,3.6
Electronics,North America,55-64,Male,November,546.2,44,2.0
Beauty Products,Europe,18-24,Male,February,237.71,31,4.1
Sports Equipment,Asia-Pacific,45-54,Male,October,976.47,64,3.9
Beauty Products,North America,18-24,Female,July,993.89,9,4.5
Electronics,Middle East,55-64,Male,September,170.13,4,4.3
Electronics,Europe,55-64,Male,May,913.28,18,1.2
Books,Africa,35-44,Non-binary,February,105.96,49,3.4
Books,Asia-Pacific,35-44,Female,February,500.71,34,2.7
Electronics,Africa,35-44,Non-binary,April,962.06,31,3.7
Home Appliances,Latin America,55-64,Male,November,280.56,13,4.5
Beauty Products,Africa,65+,Non-binary,April,174.72,91,4.3
Home Appliances,Africa,45-54,Male,September,693.57,20,4.1
Books,Africa,55-64,Female,April,416.0,6,3.1
Sports Equipment,Asia-Pacific,45-54,Male,August,378.15,62,3.4
Clothing,Asia-Pacific,18-24,Non-binary,May,625.15,73,1.8
Sports Equipment,Middle East,18-24,Non-binary,July,987.78,22,2.3
Clothing,North America,18-24,Non-binary,August,380.15,48,2.4
Books,Asia-Pacific,18-24,Male,June,507.54,84,2.6
Electronics,Europe,45-54,Male,February,125.91,22,2.3
Home Appliances,Latin America,35-44,Non-binary,February,993.16,22,1.7
Books,Africa,45-54,Non-binary,February,446.85,11,4.6
Books,Asia-Pacific,25-34,Female,December,336.51,14,4.1
Clothing,Middle East,45-54,Non-binary,April,465.71,74,1.6
Sports Equipment,Africa,45-54,Female,April,770.02,74,4.7
Electronics,Europe,18-24,Female,July,830.09,75,2.1
Sports Equipment,Europe,18-24,Female,April,396.02,25,1.9
Electronics,Asia-Pacific,55-64,Female,February,311.28,1,1.1
Sports Equipment,Europe,35-44,Female,February,702.34,53,3.8
Electronics,Asia-Pacific,35-44,Male,January,824.66,46,1.9
Sports Equipment,Middle East,18-24,Female,March,437.72,33,2.0
Home Appliances,Europe,18-24,Non-binary,July,439.39,95,4.0
Home Appliances,Europe,18-24,Male,February,814.88,55,5.0
Home Appliances,Middle East,18-24,Female,August,200.53,11,1.7
Clothing,Latin America,45-54,Female,October,378.06,16,4.4
Beauty Products,Africa,45-54,Non-binary,June,342.11,62,4.6
Home Appliances,Europe,35-44,Non-binary,September,497.07,36,3.9
Home Appliances,North America,35-44,Male,August,999.85,88,4.0
Clothing,North America,55-64,Male,October,107.24,70,4.5
Home Appliances,Africa,25-34,Non-binary,August,825.76,37,3.1
Clothing,Middle East,18-24,Female,August,130.08,97,2.9
Books,Europe,25-34,Non-binary,August,955.76,52,2.0
Home Appliances,Europe,55-64,Non-binary,December,716.93,62,3.6
Sports Equipment,Latin America,45-54,Male,December,426.06,21,1.6
Electronics,Middle East,35-44,Non-binary,May,725.93,99,2.7
Beauty Products,Middle East,35-44,Non-binary,May,213.23,80,1.0
Home Appliances,Africa,55-64,Non-binary,June,371.1,43,3.0
Books,Latin America,55-64,Male,March,128.8,80,1.2
Beauty Products,Asia-Pacific,55-64,Male,December,890.34,11,5.0
Sports Equipment,North America,18-24,Non-binary,August,486.5,7,4.2
Beauty Products,Africa,25-34,Male,April,159.77,32,2.8
Electronics,Europe,25-34,Female,April,998.88,1,4.6
Home Appliances,Asia-Pacific,45-54,Female,January,979.39,76,1.6
Electronics,Middle East,65+,Female,July,179.82,6,1.3
Home Appliances,Middle East,18-24,Male,March,162.14,56,1.4
Home Appliances,Europe,55-64,Female,August,658.28,53,4.1
Clothing,Middle East,25-34,Male,June,430.31,12,4.5
Clothing,Middle East,35-44,Female,February,399.55,17,5.0
Electronics,Latin America,55-64,Female,May,774.11,86,2.7
Electronics,Europe,55-64,Non-binary,March,214.06,4,3.8
Clothing,Europe,55-64,Non-binary,July,441.22,33,3.0
Electronics,North America,25-34,Male,November,227.09,64,4.5
Home Appliances,Africa,18-24,Non-binary,March,61.26,20,4.7
Sports Equipment,Middle East,25-34,Female,January,329.1,16,4.8
Sports Equipment,Middle East,45-54,Male,August,692.9,1,2.7
Sports Equipment,Latin America,55-64,Male,July,338.8,35,1.5
Books,Middle East,25-34,Non-binary,March,950.11,6,3.5
Beauty Products,Asia-Pacific,18-24,Male,October,524.52,63,4.0
Books,Asia-Pacific,35-44,Non-binary,March,352.28,64,4.9
Books,Europe,25-34,Female,January,61.34,65,2.1
Sports Equipment,North America,65+,Female,April,848.63,22,1.3
Sports Equipment,Asia-Pacific,18-24,Female,June,262.96,11,2.6
Home Appliances,Africa,55-64,Male,June,294.75,16,2.0
Home Appliances,Africa,18-24,Male,September,131.73,56,1.9
Home Appliances,Middle East,18-24,Male,December,197.41,34,1.8
Beauty Products,Latin America,65+,Female,October,910.85,38,3.2
Sports Equipment,North America,55-64,Female,August,668.86,46,4.4
Home Appliances,Asia-Pacific,18-24,Non-binary,March,553.48,45,1.4
Beauty Products,Asia-Pacific,18-24,Non-binary,November,927.49,61,3.6
Sports Equipment,North America,35-44,Non-binary,June,250.55,47,1.3
Clothing,Latin America,45-54,Male,November,94.04,83,3.3
Beauty Products,Asia-Pacific,45-54,Male,August,862.16,100,3.3
Home Appliances,Latin America,45-54,Female,May,530.0,96,3.0
Electronics,Middle East,25-34,Female,February,653.47,39,3.8
Electronics,Latin America,18-24,Non-binary,April,297.02,22,2.3
Clothing,Middle East,55-64,Male,April,414.57,84,3.8
Sports Equipment,Europe,55-64,Female,August,801.71,10,3.0
Home Appliances,Africa,45-54,Female,July,825.34,57,3.6
Home Appliances,North America,35-44,Non-binary,June,915.77,83,2.4
Books,North America,65+,Male,March,979.36,86,1.9
Books,Latin America,35-44,Non-binary,April,778.74,99,3.4
Clothing,Middle East,25-34,Non-binary,May,207.76,99,2.8
Electronics,Asia-Pacific,18-24,Non-binary,July,29.61,93,4.1
Books,Asia-Pacific,25-34,Non-binary,November,264.05,2,2.9
Home Appliances,Africa,55-64,Male,October,607.72,22,4.7
Electronics,North America,35-44,Non-binary,August,270.85,59,2.1
Electronics,Africa,45-54,Non-binary,September,333.32,91,3.6
Sports Equipment,Africa,35-44,Male,March,44.74,75,3.2
Books,Latin America,18-24,Male,April,937.75,95,3.7
Home Appliances,Asia-Pacific,65+,Male,March,820.9,41,1.2
Electronics,Asia-Pacific,65+,Female,February,650.36,52,1.3
Clothing,Africa,35-44,Female,April,626.55,71,2.8
Sports Equipment,Middle East,55-64,Non-binary,January,894.14,23,3.1
Electronics,North America,18-24,Female,July,135.85,10,3.1
Clothing,Asia-Pacific,55-64,Male,March,432.8,49,4.6
Home Appliances,Latin America,25-34,Female,August,954.23,62,4.7
Clothing,Asia-Pacific,25-34,Non-binary,April,83.89,71,4.6
Beauty Products,Latin America,65+,Female,July,13.19,21,1.0
Sports Equipment,Middle East,45-54,Male,May,349.5,43,4.9
Electronics,Africa,45-54,Non-binary,June,703.69,57,1.9
Sports Equipment,Latin America,35-44,Female,March,256.55,49,4.8
Clothing,North America,35-44,Non-binary,December,358.23,75,2.4
Sports Equipment,North America,55-64,Non-binary,October,509.12,75,1.2
Electronics,Asia-Pacific,35-44,Female,November,346.44,20,4.9
Clothing,Asia-Pacific,55-64,Non-binary,October,36.72,33,3.4
Beauty Products,Asia-Pacific,18-24,Female,June,847.54,72,2.0
Electronics,Latin America,18-24,Female,December,460.83,3,1.1
Books,Asia-Pacific,18-24,Female,June,839.48,27,4.7
Beauty Products,Europe,55-64,Non-binary,December,713.63,87,4.1
Clothing,Latin America,65+,Male,October,634.62,82,2.8
Clothing,Africa,25-34,Male,June,336.44,76,4.0
Electronics,Africa,18-24,Male,May,644.05,50,2.5
Clothing,Europe,45-54,Non-binary,June,680.35,32,4.2
Sports Equipment,North America,65+,Female,March,751.53,37,1.9
Sports Equipment,North America,55-64,Male,October,378.95,56,1.7
Sports Equipment,Africa,55-64,Male,May,557.69,83,1.1
Home Appliances,Europe,25-34,Male,June,667.5,78,4.1
Books,North America,65+,Male,November,183.2,87,3.6
Sports Equipment,Africa,65+,Female,June,321.11,98,4.8
Books,Latin America,45-54,Male,June,665.23,7,2.8
Electronics,Middle East,25-34,Male,November,645.69,12,3.5
Home Appliances,Latin America,45-54,Non-binary,July,448.25,45,2.4
Beauty Products,Middle East,35-44,Male,March,68.39,44,2.2
Books,Latin America,25-34,Non-binary,July,465.78,58,4.0
Clothing,Asia-Pacific,25-34,Female,November,870.04,43,2.3
Sports Equipment,Africa,18-24,Non-binary,January,896.02,65,1.2
Books,Europe,18-24,Male,May,763.72,2,1.9
Clothing,Africa,35-44,Male,December,973.97,23,1.3
Beauty Products,Latin America,18-24,Female,September,810.91,76,3.3
Home Appliances,North America,18-24,Female,December,668.12,6,3.5
Sports Equipment,Europe,45-54,Male,December,993.43,38,3.1
Electronics,North America,45-54,Female,May,100.04,42,2.5
Books,Middle East,45-54,Male,June,899.87,85,3.3
Books,Latin America,18-24,Female,April,425.56,75,3.0
Home Appliances,North America,65+,Male,February,169.01,90,3.8
Home Appliances,Europe,55-64,Male,November,873.36,9,3.6
Clothing,Middle East,65+,Male,April,883.88,77,1.4
Beauty Products,Africa,55-64,Female,September,228.5,75,3.7
Clothing,Middle East,55-64,Non-binary,October,378.89,99,1.6
Home Appliances,Europe,18-24,Male,April,189.68,49,4.9
Clothing,Europe,25-34,Female,October,837.37,82,1.9
Beauty Products,North America,65+,Male,July,678.46,87,2.2
Clothing,Asia-Pacific,65+,Male,October,403.75,56,2.9
Books,North America,35-44,Male,December,724.23,13,1.7
Home Appliances,Asia-Pacific,18-24,Female,August,282.87,7,4.4
Clothing,Latin America,18-24,Male,January,470.49,42,4.6
Clothing,Africa,45-54,Male,January,310.19,19,2.3
Beauty Products,Middle East,35-44,Male,February,479.37,83,5.0
Books,Africa,55-64,Non-binary,August,200.54,81,4.9
Clothing,Asia-Pacific,18-24,Female,January,883.51,99,1.9
Beauty Products,North America,25-34,Female,April,567.53,40,4.2
Clothing,Africa,45-54,Female,January,199.82,65,3.9
Sports Equipment,Asia-Pacific,18-24,Female,November,218.73,71,4.6
Electronics,Latin America,35-44,Male,February,135.55,33,2.3
Beauty Products,Middle East,55-64,Female,March,928.42,77,2.4
Home Appliances,Middle East,25-34,Female,March,365.99,17,3.9
Books,Europe,45-54,Male,December,310.02,62,4.6
Clothing,Asia-Pacific,55-64,Female,January,661.58,86,4.4
Clothing,Latin America,65+,Female,March,955.4,90,3.2
Home Appliances,Africa,55-64,Male,March,642.19,90,3.3
Home Appliances,Middle East,35-44,Female,November,164.07,44,2.3
Beauty Products,Asia-Pacific,25-34,Female,October,290.24,93,3.7
Beauty Products,North America,18-24,Female,April,508.99,81,4.7
Clothing,North America,18-24,Female,November,649.53,51,3.0
Home Appliances,Middle East,25-34,Male,April,466.89,54,4.1
Clothing,Asia-Pacific,25-34,Female,October,597.89,51,3.9
Clothing,Asia-Pacific,55-64,Female,October,156.47,52,1.0
Clothing,Asia-Pacific,35-44,Female,January,726.72,75,1.9
Clothing,Middle East,55-64,Female,August,574.94,54,1.3
Clothing,Latin America,45-54,Male,August,92.83,14,1.8
Sports Equipment,Middle East,65+,Female,December,30.65,40,2.0
Clothing,North America,18-24,Non-binary,October,641.95,17,3.1
Clothing,Middle East,25-34,Non-binary,July,122.43,1,4.6
Books,Middle East,55-64,Non-binary,November,450.51,15,3.7
Clothing,Asia-Pacific,45-54,Non-binary,April,673.58,59,2.3
Books,Africa,65+,Male,November,730.97,80,4.8
Electronics,Africa,25-34,Non-binary,April,950.04,51,3.5
Beauty Products,Africa,65+,Non-binary,November,384.18,59,4.1
Books,Europe,25-34,Non-binary,November,207.28,81,2.9
Electronics,North America,55-64,Non-binary,July,46.87,75,2.1
Sports Equipment,Europe,35-44,Female,August,41.95,57,2.1
Clothing,Africa,55-64,Male,February,107.44,29,4.7
Sports Equipment,Africa,18-24,Male,November,370.53,43,2.3
Sports Equipment,Asia-Pacific,35-44,Male,January,404.13,50,1.1
Books,Asia-Pacific,65+,Male,September,946.94,43,3.1
Beauty Products,Latin America,35-44,Male,June,103.91,10,3.5
Beauty Products,Latin America,25-34,Male,May,552.43,64,4.1
Clothing,Middle East,35-44,Female,October,592.9,76,4.2
Books,Latin America,18-24,Non-binary,December,210.26,60,4.7
Electronics,Europe,18-24,Female,March,486.47,31,3.0
Books,North America,18-24,Non-binary,April,128.93,93,2.1
Electronics,Latin America,25-34,Female,April,117.17,40,3.5
Books,Middle East,45-54,Non-binary,August,77.95,71,4.0
Home Appliances,Asia-Pacific,65+,Female,March,258.87,76,4.2
Home Appliances,Africa,25-34,Male,May,281.95,38,4.9
Books,North America,18-24,Male,November,545.16,48,2.0
Books,Europe,18-24,Non-binary,August,569.63,3,2.6
Beauty Products,Africa,55-64,Female,October,554.96,36,4.4
Home Appliances,Latin America,65+,Male,November,328.49,67,1.4
Sports Equipment,Middle East,45-54,Male,November,278.43,73,3.3
Sports Equipment,Latin America,65+,Female,November,947.9,91,1.9
Home Appliances,Latin America,55-64,Female,June,866.12,70,1.1
Beauty Products,North America,55-64,Female,March,762.25,100,3.7
Electronics,Europe,35-44,Female,June,57.57,78,3.3
Clothing,Latin America,18-24,Female,February,611.65,31,3.1
Clothing,Middle East,65+,Non-binary,November,343.63,63,1.5
Beauty Products,Europe,55-64,Male,April,259.58,47,3.7
Sports Equipment,North America,55-64,Female,January,115.66,31,4.3
Electronics,Latin America,45-54,Non-binary,May,903.59,40,1.2
Electronics,Europe,25-34,Male,January,493.59,50,3.7
Electronics,Asia-Pacific,65+,Female,January,777.51,50,2.8
Books,Middle East,55-64,Male,September,915.51,32,3.7
Beauty Products,Europe,45-54,Non-binary,July,812.27,81,2.2
Sports Equipment,Middle East,18-24,Male,December,726.26,50,4.8
Home Appliances,Europe,35-44,Non-binary,October,98.54,77,3.0
Sports Equipment,Europe,55-64,Non-binary,December,761.54,4,3.1
Home Appliances,Asia-Pacific,18-24,Non-binary,September,234.82,8,3.8
Books,Asia-Pacific,45-54,Non-binary,December,694.51,99,2.3
Books,Middle East,55-64,Non-binary,July,364.11,42,1.6
Home Appliances,Latin America,65+,Female,June,431.61,45,1.5
Sports Equipment,Latin America,45-54,Non-binary,February,601.27,43,2.4
Beauty Products,Middle East,25-34,Male,February,823.32,72,1.3
Sports Equipment,Latin America,25-34,Non-binary,February,929.92,100,4.3
Clothing,Asia-Pacific,18-24,Female,November,115.18,44,2.3
Books,Africa,35-44,Female,July,438.84,29,1.8
Books,Africa,55-64,Male,July,155.66,82,2.1
Sports Equipment,Middle East,18-24,Non-binary,September,78.24,10,3.1
Electronics,North America,18-24,Female,January,516.18,64,1.7
Sports Equipment,Europe,55-64,Female,November,916.17,16,4.5
Clothing,North America,18-24,Male,December,739.73,91,3.1
Home Appliances,Asia-Pacific,18-24,Male,May,413.79,4,4.1
Sports Equipment,North America,65+,Male,August,192.38,42,4.9
Beauty Products,Middle East,35-44,Male,July,835.92,9,1.4
Sports Equipment,Africa,65+,Male,February,63.99,61,1.3
Clothing,North America,45-54,Non-binary,April,745.15,77,3.8
Clothing,North America,55-64,Non-binary,December,186.76,86,4.2
Sports Equipment,Asia-Pacific,35-44,Male,April,646.61,17,1.4
Sports Equipment,Asia-Pacific,18-24,Non-binary,July,475.14,94,3.8
Home Appliances,Asia-Pacific,35-44,Female,December,924.84,20,4.1
Beauty Products,Middle East,18-24,Non-binary,December,529.12,94,1.0
Electronics,Middle East,55-64,Non-binary,March,108.69,53,1.2
Books,Asia-Pacific,55-64,Non-binary,September,653.13,70,3.1
Home Appliances,Latin America,18-24,Male,December,494.93,28,3.9
Home Appliances,Africa,65+,Female,January,844.16,21,2.5
Clothing,Europe,18-24,Non-binary,July,951.19,81,2.0
Sports Equipment,North America,65+,Non-binary,September,768.96,1,3.0
Home Appliances,Europe,25-34,Non-binary,April,644.09,3,4.7
Home Appliances,Asia-Pacific,45-54,Non-binary,January,667.86,51,2.1
Clothing,North America,18-24,Non-binary,September,978.73,3,4.2
Electronics,Europe,18-24,Non-binary,October,216.22,40,3.7
Clothing,North America,18-24,Non-binary,March,716.56,55,2.5
Sports Equipment,Middle East,45-54,Female,February,591.07,29,1.7
Books,Middle East,18-24,Non-binary,May,630.54,94,2.0
Electronics,North America,18-24,Female,February,125.05,47,4.1
Clothing,North America,18-24,Male,January,339.13,82,2.3
Sports Equipment,Asia-Pacific,25-34,Female,March,678.08,100,1.8
Electronics,Latin America,65+,Male,November,790.85,71,1.8
Electronics,Europe,65+,Male,August,611.59,39,1.0
Electronics,Europe,55-64,Non-binary,April,715.63,59,2.0
Home Appliances,Latin America,35-44,Male,July,769.38,24,2.8
Sports Equipment,Europe,25-34,Non-binary,February,922.42,28,1.7
Beauty Products,Africa,65+,Non-binary,November,952.74,11,4.8
Home Appliances,North America,25-34,Male,September,307.12,52,1.9
Electronics,Africa,18-24,Female,July,708.37,94,4.6
Books,Latin America,65+,Female,January,979.92,74,4.5
Sports Equipment,Asia-Pacific,55-64,Female,May,942.72,47,4.1
Sports Equipment,Middle East,55-64,Male,April,572.24,54,4.6
Clothing,Europe,35-44,Non-binary,October,32.46,2,3.6
Beauty Products,Africa,25-34,Female,November,825.09,93,2.8
Electronics,North America,25-34,Male,October,552.57,77,3.4
Sports Equipment,Asia-Pacific,45-54,Non-binary,August,248.17,87,2.9
Beauty Products,Middle East,55-64,Female,November,749.75,36,2.1
Books,Africa,35-44,Female,December,704.57,32,4.2
Clothing,Africa,45-54,Female,September,456.33,17,4.7
Sports Equipment,Middle East,18-24,Female,June,77.97,94,1.4
Electronics,Middle East,18-24,Non-binary,April,95.01,55,4.8
Sports Equipment,North America,25-34,Male,June,943.12,12,2.1
Books,Europe,25-34,Male,September,20.01,55,4.6
Clothing,North America,35-44,Female,January,109.03,16,3.7
Beauty Products,North America,55-64,Non-binary,February,345.15,56,4.2
Beauty Products,Asia-Pacific,45-54,Female,March,722.6,44,3.1
Sports Equipment,Middle East,25-34,Male,April,598.17,21,3.2
Books,Europe,25-34,Male,July,206.13,61,1.5
Clothing,Latin America,25-34,Non-binary,December,88.49,88,1.1
Sports Equipment,Africa,45-54,Male,December,494.69,64,4.2
Clothing,Middle East,55-64,Male,January,306.85,7,3.3
Books,Latin America,55-64,Male,November,52.26,73,4.1
Home Appliances,Europe,25-34,Male,March,362.06,93,3.5
Sports Equipment,Asia-Pacific,65+,Male,November,153.36,7,3.8
Beauty Products,Asia-Pacific,45-54,Non-binary,February,888.67,68,4.5
Beauty Products,Latin America,55-64,Female,March,319.85,76,2.4
Electronics,Asia-Pacific,45-54,Female,November,988.27,83,4.6
Sports Equipment,Europe,55-64,Non-binary,July,239.01,28,1.7
Sports Equipment,Latin America,35-44,Female,September,873.67,68,3.8
Clothing,Africa,65+,Female,September,376.95,93,3.1
Home Appliances,Middle East,45-54,Non-binary,September,465.87,25,3.1
Electronics,Africa,35-44,Non-binary,May,799.46,25,2.4
Beauty Products,Africa,35-44,Female,April,322.28,18,4.3
Clothing,Latin America,18-24,Non-binary,March,409.66,30,1.3
Home Appliances,Africa,35-44,Male,November,151.69,46,3.0
Sports Equipment,Africa,18-24,Male,April,586.69,53,5.0
Sports Equipment,Europe,65+,Male,November,558.67,67,2.5
Beauty Products,Europe,45-54,Non-binary,February,855.59,94,1.7
Home Appliances,Middle East,18-24,Non-binary,April,640.27,6,1.4
Books,Middle East,65+,Female,September,975.77,44,3.4
Books,Africa,35-44,Female,May,799.33,56,4.8
Clothing,Middle East,25-34,Male,September,446.81,41,3.1
Home Appliances,Middle East,35-44,Male,November,304.83,9,2.5
Books,Asia-Pacific,55-64,Male,May,661.94,21,1.3
Home Appliances,North America,18-24,Non-binary,November,784.77,13,3.8
Clothing,Europe,35-44,Male,January,539.08,69,4.2
Clothing,Asia-Pacific,18-24,Non-binary,June,22.28,27,2.6
Clothing,Middle East,25-34,Female,July,686.78,32,1.2
Home Appliances,Middle East,45-54,Male,November,713.62,53,3.5
Electronics,Europe,65+,Non-binary,June,486.66,6,4.7
Sports Equipment,Africa,18-24,Non-binary,May,260.86,52,2.7
Clothing,Latin America,35-44,Male,January,589.91,58,3.5
Books,Africa,25-34,Female,February,573.09,36,3.0
Home Appliances,Latin America,18-24,Female,April,366.68,65,4.4
Sports Equipment,North America,25-34,Female,January,394.69,93,1.4
Electronics,Europe,18-24,Non-binary,March,761.28,46,3.6
Electronics,Africa,65+,Non-binary,December,943.25,58,1.2
Home Appliances,Africa,25-34,Non-binary,September,949.5,25,2.2
Clothing,Africa,65+,Female,August,567.53,6,2.9
Beauty Products,North America,18-24,Non-binary,April,896.03,44,2.2
Clothing,North America,35-44,Female,April,450.66,85,2.8
Sports Equipment,Middle East,65+,Non-binary,May,689.82,1,2.6
Home Appliances,Africa,18-24,Male,November,576.53,99,4.5
Beauty Products,Asia-Pacific,25-34,Female,October,616.46,75,2.0
Electronics,North America,18-24,Non-binary,March,268.29,39,2.2
Home Appliances,Middle East,45-54,Non-binary,August,67.68,2,4.3
Electronics,Latin America,18-24,Male,February,830.02,73,1.1
Sports Equipment,Asia-Pacific,18-24,Non-binary,May,256.22,74,3.0
Sports Equipment,North America,18-24,Female,August,167.17,79,1.0
Books,Middle East,45-54,Male,August,401.45,11,4.4
Beauty Products,Europe,65+,Female,April,836.6,35,4.1
Home Appliances,Asia-Pacific,18-24,Non-binary,May,726.55,67,3.9
Books,Middle East,65+,Male,June,691.69,90,1.7
Home Appliances,Africa,65+,Female,March,377.45,7,2.6
Home Appliances,Europe,45-54,Non-binary,August,605.67,17,1.4
Books,Latin America,55-64,Female,May,266.54,8,3.8
Sports Equipment,North America,65+,Non-binary,March,325.15,43,3.9
Clothing,Asia-Pacific,25-34,Non-binary,August,629.5,80,1.7
Sports Equipment,Africa,35-44,Male,November,43.76,17,4.4
Sports Equipment,North America,18-24,Male,October,770.12,51,3.5
Books,Latin America,25-34,Non-binary,November,299.53,63,2.8
Home Appliances,Middle East,35-44,Female,November,822.87,10,2.8
Books,Europe,65+,Male,September,328.43,2,2.3
Clothing,Middle East,35-44,Non-binary,August,37.53,91,1.9
Home Appliances,Asia-Pacific,55-64,Female,February,719.38,89,4.4
Beauty Products,Europe,55-64,Female,January,740.5,16,4.9
Electronics,Middle East,55-64,Female,September,622.44,45,3.8
Home Appliances,Middle East,25-34,Non-binary,January,244.04,19,4.6
Sports Equipment,Middle East,18-24,Male,August,630.83,4,1.7
Books,Africa,55-64,Male,July,613.06,73,2.7
Home Appliances,Africa,65+,Male,October,231.22,35,2.8
Sports Equipment,Europe,65+,Female,November,549.77,53,3.9
Electronics,Middle East,65+,Male,July,569.65,82,1.6
Books,Europe,55-64,Non-binary,April,993.49,96,4.3
Sports Equipment,North America,45-54,Non-binary,February,862.62,16,4.8
Electronics,North America,18-24,Male,October,384.3,17,2.1
Clothing,Africa,55-64,Non-binary,April,490.43,32,3.4
Sports Equipment,Asia-Pacific,55-64,Male,April,478.24,21,4.4
Home Appliances,Europe,18-24,Female,January,956.85,8,4.4
Clothing,Africa,55-64,Male,August,661.86,84,1.6
Beauty Products,Latin America,45-54,Female,August,268.78,54,4.4
Sports Equipment,Africa,65+,Non-binary,July,456.94,52,4.6
Home Appliances,Latin America,45-54,Female,March,63.75,4,3.6
Sports Equipment,Europe,25-34,Female,November,710.91,35,4.0
Books,Europe,65+,Female,January,465.39,47,3.0
Sports Equipment,North America,35-44,Male,September,783.17,73,2.4
Home Appliances,Africa,45-54,Female,August,182.47,56,4.9
Beauty Products,Middle East,55-64,Non-binary,January,42.81,38,1.5
Books,Middle East,35-44,Female,June,511.35,81,3.1
Home Appliances,Europe,55-64,Male,May,247.75,2,1.4
Home Appliances,Middle East,18-24,Male,September,650.29,47,4.8
Home Appliances,Latin America,55-64,Non-binary,June,309.51,23,3.9
Electronics,North America,55-64,Female,November,422.03,6,4.5
Clothing,Middle East,65+,Female,July,147.1,28,2.2
Sports Equipment,Asia-Pacific,55-64,Female,April,869.09,67,4.2
Electronics,Middle East,25-34,Non-binary,March,358.33,69,2.1
Books,Latin America,18-24,Male,August,465.85,65,5.0
Beauty Products,Africa,45-54,Non-binary,January,990.56,2,3.2
Clothing,Middle East,35-44,Non-binary,August,803.56,73,4.3
Clothing,Middle East,25-34,Male,September,360.46,17,3.6
Electronics,Asia-Pacific,55-64,Female,April,114.38,6,3.8
Beauty Products,Europe,35-44,Female,August,191.84,2,2.6
Electronics,Middle East,35-44,Female,April,563.12,83,2.7
Electronics,Africa,45-54,Female,November,410.07,82,2.3
Books,Asia-Pacific,45-54,Male,October,450.25,18,4.1
Sports Equipment,Europe,45-54,Male,May,174.47,40,3.5
Clothing,North America,55-64,Male,February,127.25,75,1.1
Books,Middle East,65+,Female,May,495.92,71,1.1
Clothing,North America,65+,Non-binary,April,776.66,51,1.0
Clothing,Asia-Pacific,65+,Non-binary,October,618.45,47,1.3
Beauty Products,Latin America,45-54,Female,December,727.47,39,4.7
Clothing,Africa,55-64,Non-binary,October,971.14,58,4.0
Books,Europe,55-64,Male,May,629.78,3,2.7
Beauty Products,North America,18-24,Non-binary,July,23.55,29,1.1
Books,Europe,45-54,Female,August,473.48,87,2.8
Books,North America,35-44,Male,April,147.41,72,1.7
Books,Europe,65+,Male,November,336.72,22,4.3
Beauty Products,North America,65+,Female,June,584.22,38,1.6
Home Appliances,Latin America,25-34,Male,November,823.56,33,3.9
Sports Equipment,North America,25-34,Female,January,581.71,34,1.9
Clothing,Africa,35-44,Male,February,657.7,42,1.9
Sports Equipment,Asia-Pacific,55-64,Male,September,245.45,25,2.4
